Outstanding,Maturity Date,Fixed / Float,Local / International,CPN,CPN2,ATM
333333333,29-Jun-2024,1,1,0.0284,2.84,0.5
714272727,29-Jun-2024,1,1,0.0277,2.77,0.5
423076923,29-Jun-2024,1,1,0.0325,3.25,0.5
454000000,27-Jul-2024,1,1,0.0245,2.45,0.57
1090000000,28-Jul-2024,1,1,0.0251,2.51,0.58
417000000,28-Jul-2024,1,1,0.0298,2.98,0.58
8000000000,01-Jun-2025,1,1,0.0236,2.36,1.42
5750000000,16-Jun-2025,1,1,0.0267,2.67,1.46
69869230,14-Oct-2025,1,1,0.0372,3.72,1.79
5799261,14-Oct-2025,1,1,0.0344,3.44,1.79
22193526,14-Oct-2025,1,1,0.0327,3.27,1.79
10757644,14-Oct-2025,1,1,0.0402,4.02,1.79
69869230,14-Apr-2026,1,1,0.0372,3.72,2.29
5799261,14-Apr-2026,1,1,0.0344,3.44,2.29
22193526,14-Apr-2026,1,1,0.0327,3.27,2.29
10757644,14-Apr-2026,1,1,0.0402,4.02,2.29
3741996,14-Apr-2026,1,1,0.044,4.4,2.29
1276064,14-Apr-2026,1,1,0.0455,4.55,2.29
2594944000,17-Mar-2027,1,1,0.026,2.6,3.21
1690000000,17-Mar-2027,1,1,0.026,2.6,3.21
201000000,17-Mar-2027,1,1,0.026,2.6,3.21
69869230,14-Apr-2027,1,1,0.0372,3.72,3.29
5799261,14-Apr-2027,1,1,0.0344,3.44,3.29
22193526,14-Apr-2027,1,1,0.0327,3.27,3.29
69869230,16-Apr-2028,1,1,0.0372,3.72,4.3
5799261,16-Apr-2028,1,1,0.0344,3.44,4.3
22193526,16-Apr-2028,1,1,0.0327,3.27,4.3
10757644,16-Apr-2028,1,1,0.0402,4.02,4.3
3741996,16-Apr-2028,1,1,0.044,4.4,4.3
1276064,16-Apr-2028,1,1,0.0455,4.55,4.3
51083689,03-Jun-2024,0,0,0.0514,5.14,0.42
13405740,03-Jun-2024,0,0,0.0482,4.82,0.42
562312500,22-Jun-2024,0,0,0.0459,4.59,0.48
51083689,04-Dec-2024,0,0,0.0514,5.14,0.93
13405740,04-Dec-2024,0,0,0.0482,4.82,0.93
562312500,22-Dec-2024,0,0,0.0459,4.59,0.98
51083689,03-Jun-2025,0,0,0.0514,5.14,1.42
13405740,03-Jun-2025,0,0,0.0482,4.82,1.42
562312500,22-Jun-2025,0,0,0.0459,4.59,1.48
51083689,04-Dec-2025,0,0,0.0514,5.14,1.93
13405740,04-Dec-2025,0,0,0.0482,4.82,1.93
562312500,22-Dec-2025,0,0,0.0459,4.59,1.98
4143000000,03-Mar-2024,1,0,0,0,0.17
15939798750,17-Apr-2025,1,0,0.04,4,1.3
9004155000,22-Oct-2025,1,0,0.029,2.9,1.81
19546218750,26-Oct-2026,1,0,0.0325,3.25,2.82
4687500000,03-Feb-2027,1,0,0.025,2.5,3.1
16875000000,20-Apr-2027,1,0,0.0363,3.63,3.3
4220493750,09-Jul-2027,1,0,0.0075,0.75,3.52
12187500000,18-Jan-2028,1,0,0.0475,4.75,4.05
18750000000,04-Mar-2028,1,0,0.0363,3.63,4.18
9375000000,25-Oct-2028,1,0,0.0527,5.27,4.82
